as_of_date,combined_rank,team,combined_power_rating,elo_rating,elo_rank,home_adv,avg_rotation_pitcher_rating,pitcher_rating_effect
2026-08-03,1,Milwaukee Brewers,1569.4,1560.9,1,17.9,1516.1,8.5
2026-08-03,2,Boston Red Sox,1568.9,1551.2,2,18.5,1533.5,17.7
2026-08-03,3,Los Angeles Dodgers,1562.1,1550.2,3,43.9,1522.5,11.9
2026-08-03,4,Chicago Cubs,1553.7,1542.5,4,16.2,1521.1,11.2
2026-08-03,5,New York Yankees,1544.0,1527.7,5,31.8,1530.8,16.3
2026-08-03,6,Atlanta Braves,1534.2,1517.5,8,20.0,1531.6,16.7
2026-08-03,7,Philadelphia Phillies,1526.7,1506.3,12,29.7,1538.5,20.4
2026-08-03,8,Arizona Diamondbacks,1523.7,1522.0,6,15.7,1503.2,1.7
2026-08-03,9,Detroit Tigers,1523.1,1504.9,14,19.8,1534.4,18.2
2026-08-03,10,Tampa Bay Rays,1523.0,1507.4,11,34.9,1529.4,15.6
2026-08-03,11,Baltimore Orioles,1521.4,1512.2,10,-1.2,1517.4,9.2
2026-08-03,12,Cleveland Guardians,1519.1,1502.2,17,20.3,1531.9,16.9
2026-08-03,13,Chicago White Sox,1518.9,1519.0,7,33.5,1499.8,-0.1
2026-08-03,14,Miami Marlins,1518.0,1512.8,9,21.5,1509.9,5.2
2026-08-03,15,Pittsburgh Pirates,1510.8,1503.9,16,17.5,1513.1,6.9
2026-08-03,16,San Diego Padres,1510.2,1505.2,13,25.7,1509.5,5.0
2026-08-03,17,Seattle Mariners,1506.8,1483.9,23,27.7,1543.2,22.9
2026-08-03,18,Houston Astros,1503.1,1504.1,15,36.7,1498.2,-1.0
2026-08-03,19,Texas Rangers,1500.1,1491.6,20,22.2,1516.1,8.5
2026-08-03,20,Cincinnati Reds,1496.9,1487.7,22,18.0,1517.4,9.2
2026-08-03,21,Washington Nationals,1495.2,1499.6,18,5.3,1491.6,-4.4
2026-08-03,22,St. Louis Cardinals,1493.6,1490.7,21,20.4,1505.4,2.9
2026-08-03,23,Toronto Blue Jays,1491.3,1479.5,24,23.5,1522.3,11.8
2026-08-03,24,Minnesota Twins,1487.7,1492.6,19,26.9,1490.7,-4.9
2026-08-03,25,New York Mets,1480.6,1470.1,25,26.5,1519.9,10.5
2026-08-03,26,San Francisco Giants,1472.5,1456.1,27,34.6,1530.9,16.4
2026-08-03,27,Kansas City Royals,1461.4,1455.3,28,17.7,1511.5,6.1
2026-08-03,28,Los Angeles Angels,1456.4,1463.8,26,15.7,1486.0,-7.4
2026-08-03,29,Athletics,1444.1,1452.6,29,20.3,1484.0,-8.5
2026-08-03,30,Colorado Rockies,1430.4,1443.6,30,29.8,1475.0,-13.2
