as_of_date,rank,team,pitcher,rating,opponent
2026-09-03,1,Los Angeles Dodgers,Tarik Skubal,1605.0,St. Louis Cardinals
2026-09-03,2,Tampa Bay Rays,Shane McClanahan,1573.2,Texas Rangers
2026-09-03,3,Chicago Cubs,Kevin Gausman,1567.2,Milwaukee Brewers
2026-09-03,4,Cleveland Guardians,Tanner Bibee,1564.9,Toronto Blue Jays
2026-09-03,5,Miami Marlins,Sandy Alcantara,1564.1,Kansas City Royals
2026-09-03,6,Kansas City Royals,Michael Wacha,1559.5,Miami Marlins
2026-09-03,7,Houston Astros,Hunter Brown,1543.9,Chicago White Sox
2026-09-03,8,Milwaukee Brewers,Logan Henderson,1536.0,Chicago Cubs
2026-09-03,9,Chicago White Sox,Luis Castillo,1524.1,Houston Astros
2026-09-03,10,Boston Red Sox,Jake Bennett,1516.6,Baltimore Orioles
2026-09-03,11,Pittsburgh Pirates,Lake Bachar,1513.0,San Francisco Giants
2026-09-03,12,Baltimore Orioles,Brandon Young,1510.2,Boston Red Sox
2026-09-03,13,Seattle Mariners,Kade Anderson,1502.0,Athletics
2026-09-03,14,St. Louis Cardinals,Quinn Mathews,1498.9,Los Angeles Dodgers
2026-09-03,15,Texas Rangers,Cal Quantrill,1482.9,Tampa Bay Rays
2026-09-03,16,Toronto Blue Jays,José Soriano,1482.5,Cleveland Guardians
2026-09-03,17,San Francisco Giants,Blade Tidwell,1481.6,Pittsburgh Pirates
2026-09-03,18,Athletics,Jack Perkins,1478.0,Seattle Mariners
