as_of_date,team,home_adv
2026-07-12,Los Angeles Dodgers,43.9
2026-07-12,Houston Astros,36.7
2026-07-12,Tampa Bay Rays,34.9
2026-07-12,San Francisco Giants,34.6
2026-07-12,Chicago White Sox,33.5
2026-07-12,New York Yankees,31.8
2026-07-12,Colorado Rockies,29.8
2026-07-12,Philadelphia Phillies,29.7
2026-07-12,Seattle Mariners,27.7
2026-07-12,Minnesota Twins,26.9
2026-07-12,New York Mets,26.5
2026-07-12,Oakland Athletics,25.7
2026-07-12,San Diego Padres,25.7
2026-07-12,Toronto Blue Jays,23.5
2026-07-12,Texas Rangers,22.2
2026-07-12,Miami Marlins,21.5
2026-07-12,St. Louis Cardinals,20.4
2026-07-12,Atlanta Braves,20.0
2026-07-12,Detroit Tigers,19.8
2026-07-12,Boston Red Sox,18.5
2026-07-12,Cincinnati Reds,18.0
2026-07-12,Milwaukee Brewers,17.9
2026-07-12,Kansas City Royals,17.7
2026-07-12,Pittsburgh Pirates,17.5
2026-07-12,Cleveland Indians,16.6
2026-07-12,Chicago Cubs,16.2
2026-07-12,Arizona Diamondbacks,15.7
2026-07-12,Los Angeles Angels,15.7
2026-07-12,Washington Nationals,5.3
2026-07-12,Baltimore Orioles,-1.2
